accuracy_a,accuracy_b,accuracy_diff,brier_a,brier_b,brier_diff
0.5419276621539705,0.5314204889876742,0.010507173166296235,0.24590567072407127,0.24740894364727764,-0.0015032729232063724
0.5368761365932512,0.5407152960193978,-0.0038391594261466544,0.24539599262889644,0.2473148950523645,-0.0019189024234680663
0.5457668215801172,0.5417256011315418,0.004041220448575467,0.2445264160407807,0.24603239892670983,-0.0015059828859291247
0.5443523944231158,0.5451606385128309,-0.0008082440897151377,0.24582297163563946,0.2472009755422103,-0.001378003906570835
0.5449585774904021,0.5500101030511214,-0.0050515255607193055,0.24491513261238843,0.2468359501510502,-0.0019208175386617732
0.5473833097595474,0.5457668215801172,0.0016164881794301644,0.2454324073943275,0.24680178134079428,-0.0013693739464667731
0.5405132349969691,0.5635481915538493,-0.02303495655688015,0.2442848141973019,0.24506582894310658,-0.0007810147458046646
0.5405132349969691,0.5427359062436856,-0.00222267124671649,0.24564691483065362,0.2473175032753296,-0.0016705884446759633
0.550414225095979,0.5393008688623965,0.01111335623358256,0.24507312104401316,0.24684074537151457,-0.0017676243275014103
0.5350575873913922,0.5296019397858153,0.00545564760557693,0.24702964942184208,0.2479445930097865,-0.0009149435879444168
0.533441099211962,0.5368761365932512,-0.003435037381289141,0.24646332383057948,0.2473222751877054,-0.0008589513571259089
0.5427359062436856,0.5494039199838351,-0.00666801374014947,0.24567283951227908,0.246712932838583,-0.0010400933263039203
0.5374823196605375,0.5479894928268337,-0.010507173166296235,0.24509522823763652,0.24623504861362674,-0.0011398203759902248
0.5473833097595474,0.5425338452212568,0.004849464538290604,0.24557779047250192,0.24682471421396573,-0.001246923741463818
0.5285916346736714,0.5419276621539705,-0.01333602748029905,0.2464040332782923,0.24759533899340422,-0.0011913057151119177
0.5393008688623965,0.5372802586381087,0.002020610224287789,0.24515394320367462,0.24674533953826897,-0.0015913963345943472
0.533441099211962,0.5342493433016771,-0.0008082440897150267,0.24681711738370324,0.24797916086101732,-0.0011620434773140786
0.5393008688623965,0.5471812487371186,-0.007880379874722121,0.24522830563071932,0.24586200710724057,-0.0006337014765212534
0.5443523944231158,0.5502121640735502,-0.005859769650434443,0.24427757194881086,0.2462157991471266,-0.0019382271983157395
0.5401091129521115,0.5473833097595474,-0.0072741968074359065,0.24473884594015308,0.24619609429753478,-0.0014572483573817019
0.5386946857951102,0.5425338452212568,-0.0038391594261466544,0.24570429835788324,0.24666961136973323,-0.0009653130118499886
0.5479894928268337,0.5508183471408366,-0.0028288543140028155,0.24479100451691346,0.2461902845035132,-0.0013992799865997496
0.5429379672661143,0.5465750656698323,-0.0036370984037179532,0.24451888409368977,0.24610521352360537,-0.0015863294299156006
0.5417256011315418,0.5393008688623965,0.002424732269145302,0.2454590847334731,0.24690612562050449,-0.0014470408870313756
0.5348555263689634,0.5465750656698323,-0.011719539300868886,0.24502289716940107,0.24643259485597666,-0.0014096976865755895
0.5445544554455446,0.5435441503334006,0.00101030511214395,0.2450262481766066,0.24674672963668198,-0.0017204814600753904
0.5471812487371186,0.5508183471408366,-0.0036370984037179532,0.24493525245905454,0.24630093084052954,-0.0013656783814749995
0.537886441705395,0.542331784198828,-0.00444534249343298,0.24567857423071304,0.24711251311942847,-0.0014339388887154303
0.5437462113558295,0.5532430794099819,-0.009496868054152396,0.24538535412761464,0.24598189196955797,-0.0005965378419433287
0.5368761365932512,0.5384926247726813,-0.0016164881794301644,0.24566071297523953,0.24707884666472069,-0.0014181336894811547
0.5451606385128309,0.5439482723782583,0.001212366134572651,0.24512126827965286,0.24644853103414727,-0.0013272627544944071
0.5467771266922611,0.5417256011315418,0.0050515255607193055,0.24433323238437957,0.24612257557870004,-0.0017893431943204752
0.5346534653465347,0.5332390381895332,0.0014144271570014633,0.24620459587826676,0.24789152242117554,-0.0016869265429087787
0.5308143059203879,0.533441099211962,-0.0026267932915741143,0.24630038401984988,0.2471133334522696,-0.0008129494324197184
0.5407152960193978,0.5455647605576884,-0.004849464538290604,0.2454361262290888,0.24702929271550722,-0.0015931664864184125
0.5405132349969691,0.5443523944231158,-0.0038391594261466544,0.24537529813624528,0.24661204097300338,-0.0012367428367580924
0.539704990907254,0.5380885027278238,0.0016164881794301644,0.2464995129409233,0.24719195706861138,-0.0006924441276880966
0.5376843806829662,0.5417256011315418,-0.004041220448575578,0.24554910862696416,0.24643084699873888,-0.0008817383717747151
0.5483936148716912,0.5477874318044049,0.0006061830672863255,0.24464439964245638,0.24540473637759844,-0.0007603367351420587
0.5431400282885431,0.5433420893109719,-0.0002020610224288122,0.24517212085573253,0.24709510002216972,-0.0019229791664371887
0.5291978177409578,0.5259648413820974,0.003232976358860329,0.24742637665430287,0.2484561658484053,-0.0010297891941024317
0.5463730046474036,0.5479894928268337,-0.0016164881794301644,0.24556196652451512,0.24668758845622288,-0.0011256219317077598
0.5407152960193978,0.5407152960193978,0.0,0.2461173781673577,0.24725490268261419,-0.0011375245152564772
0.5487977369165488,0.5526368963426955,-0.0038391594261467654,0.24536996884112935,0.24640669772341836,-0.0010367288822890064
0.5457668215801172,0.5534451404324106,-0.007678318852293309,0.24382653841717103,0.24566991280702735,-0.0018433743898563226
0.5445544554455446,0.5492018589614064,-0.004647403515861792,0.24537121071119603,0.247143785579053,-0.0017725748678569797
0.5425338452212568,0.5399070519296828,0.0026267932915740033,0.24544235928632807,0.24669924777875954,-0.0012568884924314683
0.5411194180642555,0.5421297231763993,-0.0010103051121438389,0.2459307748740068,0.24713232684787576,-0.0012015519738689528
