method,n_games,accuracy,brier_score
GamePredictor,4949,0.5435441503334006,0.246886338576736
Logistic regression (ERA/wRC+ proxy),4949,0.542331784198828,0.24692357077742172
Ensemble (stacked logistic regression),4949,0.5500101030511214,0.24592860734285776
Ensemble (50/50 average),4949,0.5401091129521115,0.24570858886711247
Always predict home win,4949,0.5322287330773894,0.4677712669226106
