accuracy_a,accuracy_b,accuracy_diff,brier_a,brier_b,brier_diff
0.5554657506566983,0.5419276621539705,0.013538088502727863,0.24569909520122504,0.24590567072407127,-0.00020657552284622516
0.5540513234996969,0.5368761365932512,0.017175186906445705,0.2452645612490548,0.24539599262889644,-0.00013143137984164555
0.5542533845221257,0.5457668215801172,0.008486562942008447,0.24483748322210824,0.2445264160407807,0.0003110671813275345
0.5544554455445545,0.5443523944231158,0.010103051121438722,0.2461292768960598,0.24582297163563946,0.0003063052604203309
0.556678116791271,0.5449585774904021,0.011719539300868886,0.24535053181397132,0.24491513261238843,0.00043539920158289225
0.5550616286118408,0.5473833097595474,0.00767831885229342,0.24609342234466128,0.2454324073943275,0.0006610149503337714
0.5540513234996969,0.5405132349969691,0.013538088502727752,0.24546760526333558,0.2442848141973019,0.0011827910660336671
0.5463730046474036,0.5405132349969691,0.005859769650434443,0.2460043509110081,0.24564691483065362,0.0003574360803544896
0.5599110931501313,0.550414225095979,0.009496868054152285,0.24526315717291056,0.24507312104401316,0.0001900361288973973
0.5439482723782583,0.5350575873913922,0.008890684986866071,0.24668363791633738,0.24702964942184208,-0.00034601150550470083
0.5522327742978379,0.533441099211962,0.01879167508587587,0.24625752590772712,0.24646332383057948,-0.00020579792285235765
0.5540513234996969,0.5427359062436856,0.011315417256011262,0.24578944139713435,0.24567283951227908,0.00011660188485526635
0.5498080420286927,0.5374823196605375,0.012325722368155212,0.24562812543698356,0.24509522823763652,0.0005328971993470433
0.5463730046474036,0.5473833097595474,-0.0010103051121438389,0.24630202587671698,0.24557779047250192,0.0007242354042150678
0.5417256011315418,0.5285916346736714,0.01313396645787035,0.24666263773351885,0.2464040332782923,0.0002586044552265465
0.5613255203071328,0.5393008688623965,0.02202465144473631,0.24492331895905817,0.24515394320367462,-0.0002306242446164508
0.539704990907254,0.533441099211962,0.0062638916952919566,0.24683693648186725,0.24681711738370324,1.9819098164008953e-05
0.542331784198828,0.5393008688623965,0.0030309153364315167,0.2460811541147323,0.24522830563071932,0.0008528484840129857
0.5572842998585573,0.5443523944231158,0.012931905435441537,0.2448366957469907,0.24427757194881086,0.0005591237981798503
0.5510204081632653,0.5401091129521115,0.010911295211153749,0.24515869093218573,0.24473884594015308,0.000419844992032653
0.5526368963426955,0.5386946857951102,0.013942210547585376,0.24570905300181237,0.24570429835788324,4.754643929127944e-06
0.554859567589412,0.5479894928268337,0.006870074762578282,0.24585757752544235,0.24479100451691346,0.0010665730085288871
0.5607193372398465,0.5429379672661143,0.017781369973732142,0.2447640918160335,0.24451888409368977,0.00024520772234373767
0.5520307132754092,0.5417256011315418,0.010305112143867423,0.2455661609407126,0.2454590847334731,0.00010707620723948708
0.5518286522529804,0.5348555263689634,0.016973125884017004,0.24520109293459044,0.24502289716940107,0.0001781957651893762
0.5554657506566983,0.5445544554455446,0.010911295211153749,0.24532229690094254,0.2450262481766066,0.00029604872433594553
0.5489997979389776,0.5471812487371186,0.0018185492018589766,0.24536078680985005,0.24493525245905454,0.00042553435079550894
0.5506162861184077,0.537886441705395,0.012729844413012725,0.24558025765855793,0.24567857423071304,-9.831657215511602e-05
0.5435441503334006,0.5437462113558295,-0.0002020610224288122,0.2462317475459463,0.24538535412761464,0.0008463934183316479
0.5506162861184077,0.5368761365932512,0.013740149525156564,0.24565403124018187,0.24566071297523953,-6.681735057662008e-06
0.557486360880986,0.5451606385128309,0.012325722368155101,0.24544488602130787,0.24512126827965286,0.00032361774165501345
0.5597090321277026,0.5467771266922611,0.012931905435441537,0.24510960513019905,0.24433323238437957,0.0007763727458194869
0.5520307132754092,0.5346534653465347,0.017377247928874517,0.2463097991732342,0.24620459587826676,0.00010520329496743752
0.5413214790866842,0.5308143059203879,0.010507173166296235,0.2464274587215889,0.24630038401984988,0.00012707470173900504
0.5481915538492624,0.5407152960193978,0.007476257829864608,0.24568335852917647,0.2454361262290888,0.00024723230008766306
