epoch,train_loss,train_accuracy,val_loss,val_accuracy
1,1.6287738935576372,0.3612816216300904,1.6090960087756334,0.3630918817124308
2,1.6018533131001549,0.3668543530125322,1.6067547696181341,0.36379172214591116
3,1.6000736232051251,0.36730409223119753,1.6071748502582117,0.3641556391799402
4,1.599219068181538,0.3675722608933193,1.6070628165203957,0.36236937978331674
5,1.5984290490150803,0.3680444585271986,1.6075711021038512,0.36352111719561087
6,1.5979104932748422,0.36797289612939615,1.60597393122781,0.36468351881917044
7,1.5974114968323279,0.3683624924675886,1.6065159391531083,0.3631212083719219
8,1.5970708275213692,0.36848163624951846,1.6070519957544027,0.3644888965348087
9,1.596771914531434,0.36851513353917953,1.6051623536325887,0.36470884639335377
10,1.5965056327740683,0.36867291339670544,1.606944982952076,0.3643729229683577
11,1.5962801405811797,0.36867234242580205,1.6067647502991074,0.36394368750782224
12,1.5960394355738055,0.3688419224714242,1.6064694803500779,0.3640596610587398
13,1.5957984426587248,0.3688908361230196,1.6056507884797326,0.36435159450633786
