epoch,train_loss,train_accuracy,val_loss,val_accuracy
1,1.8774911297858474,0.3372010652136497,1.8762576862010247,0.3362060116868627
2,1.8698819317695399,0.3378932791462479,1.8760659300205842,0.3362060116868627
3,1.8692722481120931,0.3378955630493054,1.8757340894540053,0.3362060116868627
4,1.8686104046805263,0.3378925178413112,1.8760884084133163,0.3362060116868627
5,1.8682170403864051,0.337888901659101,1.8773268160357728,0.3362033456280574
6,1.8679911922174668,0.3378999405453008,1.8755026656268918,0.3362060116868627
7,1.8679050496295726,0.3379041276960547,1.8760760239968712,0.3362033456280574
8,1.8678043158629902,0.3378955630470139,1.875842536773597,0.3362033456280574
9,1.8677281702120814,0.33790774388561595,1.8765320950238351,0.33621800895148635
10,1.867692948820161,0.3378972759766723,1.87724177826067,0.3362073447162653
