epoch,train_loss,train_accuracy,train_aux_loss,val_loss,val_accuracy,val_aux_loss
1,1.6261756603068311,0.36200793195479464,0.34206202766773575,1.6104030018130542,0.36115483858933756,0.30805517785630043
2,1.602924485339182,0.3665368325332911,0.3123489645551213,1.608715756096175,0.3614956425811619,0.2774708403657643
3,1.601267500441799,0.3671215774933375,0.2771003008486128,1.6088149362291992,0.3610344753448422,0.25504484846052616
4,1.600385749303826,0.3675717528370227,0.23694789219577833,1.6077994854266553,0.3615483860320234,0.225953544178873
5,1.5997386998697054,0.367584243840039,0.2150467475862623,1.6074224191612554,0.3610750472442702,0.21803439144944853
6,1.5991089390172262,0.3677203123676271,0.18857016456943743,1.6098869542156695,0.3608451397832778,0.18869884866429273
7,1.5986263509553267,0.3679744624144365,0.18396078409849967,1.6077926892286858,0.3614685946974352,0.17918012968289515
8,1.5983302491103748,0.36820796070667194,0.17892598907371932,1.6073082414681956,0.36164711099239816,0.17387087093222997
9,1.5980190087825779,0.3681478373840502,0.1780032420405723,1.6071219572017796,0.3612873734929602,0.1944730668641592
10,1.5977937657587689,0.3682492642533834,0.16969220097498325,1.6065656023761647,0.36206364925102297,0.16899584577212137
11,1.5975505772783027,0.36839016263376384,0.16814848917352654,1.6077849809326523,0.36136310767963514,0.17903314206558943
12,1.5973806935288686,0.3684732693639844,0.16396586575974265,1.6078901008452076,0.36170391165872323,0.15493938284112796
13,1.59721155358851,0.36847443518791584,0.15856925443935999,1.6074844071386547,0.3618499705464484,0.16360463168957984
14,1.597115073066839,0.36846893915753454,0.1570755932235289,1.6067506742542421,0.3616173583110448,0.15523539830996727
1,1.6261732539307763,0.36214949652957035,0.2647195192582438,1.6102345998648189,0.3609019404221958,0.26601522897149144
2,1.60266434408148,0.36663709355169155,0.24032547136248722,1.6109391623862694,0.36025279001474164,0.2305053819346134
3,1.601112407134272,0.3672005205592297,0.20181538649801442,1.6100334012940523,0.3612860211110748,0.17533539739810033
4,1.6002989453535357,0.3673600721741782,0.1642676305847258,1.6084663068720628,0.35970642170074335,0.17682901007092475
5,1.599547312233422,0.3677123181313634,0.14736664257127927,1.6085109257463712,0.3612495063616558,0.14779437433191908
6,1.5990850372287397,0.3678540492636176,0.1280405556468156,1.6081847372940696,0.3609776746657808,0.13634568235730524
7,1.598663234066923,0.368054071674183,0.12582219688507337,1.6074590281672476,0.361467242252191,0.13987459999690824
8,1.5983243771491498,0.36809271047979475,0.12460436715608783,1.607413427831045,0.3611277906549883,0.14336828391764858
9,1.5980403827873575,0.368308554819153,0.12406862491006256,1.6075699003180108,0.36186078969906854,0.1308311224897872
10,1.5978396355601425,0.3682729138598794,0.12691766370803093,1.606987270205547,0.36160789155304635,0.13960193070329394
11,1.5976268135927756,0.36832737458528025,0.13101387730501404,1.6080009015472656,0.3616444061968674,0.14467146118348465
12,1.5974695112855188,0.36847826575534937,0.12852220925267327,1.607127853618115,0.3619243523405976,0.1363905702371643
13,1.5972706862711128,0.36846560823331653,0.12572779744492038,1.606893274247902,0.3618567325532511,0.1257099685158941
14,1.5970862416615,0.3685522124368354,0.1307760143597257,1.6073578203426142,0.36158084357855375,0.14328733023485174
15,1.5969953419102807,0.36857186492351696,0.1353362518173448,1.6071645272881032,0.36174177876681224,0.14468435752341
16,1.596820124460071,0.36854172000518703,0.12965592994506575,1.607839302397275,0.3615186333696938,0.13982325929162734
17,1.5967118927327464,0.3685620386793051,0.12865046711866068,1.6065389354779296,0.3615592052521939,0.1439423988254429
18,1.5966106561157136,0.3686856162292651,0.12913602928137716,1.6073402581793768,0.36155244326651076,0.1388134247371969
19,1.59653464559838,0.3686531396531701,0.12501418031334588,1.6071628984046633,0.36173636920315777,0.13477573008111146
20,1.5964011684066592,0.36862199543652663,0.12339744095294294,1.6070589741924233,0.36201631530045714,0.1367534944870034
21,1.5963656867668181,0.3687240884856774,0.12371026331407127,1.6078342815475926,0.36107369482852897,0.12067342720482015
