method,n_games,accuracy,brier_score
GamePredictor,4949,0.5229339260456658,0.25019505334382974
Logistic regression (ERA/wRC+ proxy),4949,0.542331784198828,0.24692357077742172
Always predict home win,4949,0.5322287330773894,0.4677712669226106
