epoch,encoder_trainable,train_loss,train_brier,train_home_mae,train_away_mae,val_loss,val_brier,val_home_mae,val_away_mae
1,False,5.68547289931636,0.2537455279865866,2.5160215988404233,2.567106061179942,5.678308724102729,0.24991087983948457,2.5835480774910717,2.6136840229235117
2,False,5.648117820729483,0.25049393280480714,2.4925742308665284,2.5512682762830896,5.671806738763529,0.25241773695851183,2.451771806194347,2.565511185647215
3,False,5.63955966988944,0.2486001179223594,2.485281400584195,2.5483018282983156,5.667045158106805,0.24848968507017216,2.4595049970403755,2.530910269734542
4,False,5.627466751586231,0.24692475868562153,2.4766195269672466,2.5302053841349124,5.662968835672451,0.2494744242371359,2.456084858690954,2.5345715308951635
5,False,5.62326361093242,0.2456539946264669,2.475191959928708,2.5266895793332944,5.658030314659696,0.24852978990223668,2.4601000753408115,2.5242268951351177
6,True,5.624410821730043,0.24554293811295078,2.4717446481193868,2.527079802803576,5.653463382172903,0.24909765343586956,2.465351568451298,2.5608423546420953
7,True,5.617668531900941,0.24479879999726278,2.4681099225771406,2.521520165525786,5.678853583596391,0.2535291562095821,2.5671442385773484,2.5468195104155162
8,True,5.613399594997657,0.24436746775688348,2.465076054169503,2.514295628519445,5.660343460783887,0.24954995222296228,2.5323801853067236,2.565715265679292
9,True,5.615314065477362,0.24469440734717635,2.472333622693505,2.5162131536054706,5.6626108527328265,0.25039278445384705,2.445531028622512,2.571563059479927
10,True,5.610008966586987,0.2440599547579949,2.4536808423441454,2.5199745404087377,5.689466437459812,0.24761046345588023,2.4466725418028297,2.5272579892643643
