epoch,train_loss,train_accuracy,val_loss,val_accuracy
1,1.6297598680388017,0.3609030641720853,1.6103610614231827,0.3630852165767399
2,1.6022116512876932,0.36638310700641485,1.6074390960053277,0.36381838273265277
3,1.6004115277673647,0.3670776048532787,1.6070004081233327,0.364440907476314
4,1.5994148987588397,0.36734977035385663,1.607074494031956,0.3641343107208205
5,1.598769198463909,0.36778257059288666,1.6064715948033808,0.3641049840752736
6,1.5982586993098638,0.3676849336073935,1.6062518049957308,0.3642622815266285
7,1.5977720256078953,0.36803931973795107,1.6064773960523104,0.36409298679670565
8,1.5973654708133591,0.3681891059176118,1.6068740479525863,0.3634904575067171
9,1.5970462692551424,0.36823535502603516,1.6073225579265866,0.3642609484943258
10,1.5968045671752074,0.36833679852709117,1.606320452960334,0.36415697220803184
