epoch,train_loss,train_accuracy,val_loss,val_accuracy
1,1.8770617265949394,0.3376216846191372,1.8768361910047848,0.3362060116868627
2,1.8700085817588603,0.3378930888263949,1.8765615791345815,0.3362060116868627
3,1.8691416541231616,0.33789099523406957,1.8772974566495875,0.3362060116868627
4,1.868492123270293,0.3379092664960339,1.8760795107384836,0.3362060116868627
5,1.8681938147246624,0.33790926649934644,1.8757823584269546,0.3362060116868627
6,1.8679788379701192,0.3379134536582682,1.8756174348734744,0.3362060116868627
7,1.8680412106998319,0.33791193104764605,1.875946155383356,0.3362060116868627
8,1.8678635808430737,0.3379058406250325,1.8759968648043186,0.3362166759220837
9,1.8677460614867494,0.337909837466597,1.875963690417192,0.3362073447162653
10,1.8676520246414898,0.3378991792345558,1.8757538307439496,0.3362073447162653
