epoch,train_loss,train_accuracy,train_aux_loss,val_loss,val_accuracy,val_aux_loss
1,1.6276376630844118,0.3616560190709874,0.36874632295730875,1.6126119774032537,0.36026631400722753,0.3836219012384206
2,1.602998786541511,0.3665345008781667,0.3779346544629113,1.608931647401955,0.3612995450761536,0.39132670100920397
3,1.6015036733923196,0.36704729773493455,0.35069521463429876,1.6085836746719264,0.36096009345573543,0.3452862320594477
4,1.600537652766078,0.3674736569111063,0.31197341187044425,1.6078286888335553,0.3610466469173952,0.3004897685542796
5,1.5998000086013984,0.3675894067846188,0.2562633538668469,1.608324550893999,0.36104935164956714,0.2567121001891898
6,1.5992719265950477,0.3677266411375232,0.2353855084854883,1.6085362216349195,0.36162952986247826,0.23144516548983204
7,1.598953422749922,0.36794032037185476,0.21422656581518115,1.6080829112980404,0.3613279453861007,0.2105456700712942
8,1.5985715812793106,0.367911341277218,0.20518527279949222,1.6075286291116835,0.36168633050139626,0.20548561440042207
9,1.5983039974772242,0.3681426744392868,0.19767073388755854,1.6074885557834073,0.3611223810913339,0.1918463884938237
10,1.5980460744563567,0.3681286845290044,0.18475554103053163,1.6073412356346752,0.36161059635276877,0.18868710243756168
11,1.5978596796026352,0.368313051576599,0.17076654250549947,1.6078102665490184,0.3612495064271104,0.17561404015828294
12,1.5976671927785362,0.3683801698328527,0.16391938357140953,1.60708600896169,0.36157002440062236,0.16797095162909437
13,1.5974425221079909,0.3683638482831056,0.16365573527440727,1.6072419440289027,0.3618580849246573,0.1695627910470309
14,1.597319527834199,0.36834169757997937,0.16500410514598926,1.607454519566635,0.3616187107077623,0.18190796287405875
15,1.5972048084529764,0.36847043806984353,0.1611691756539776,1.6071525088524148,0.3619473430699624,0.16246251812616438
16,1.5970960786398403,0.36844895357245416,0.15573437284805997,1.6066313008393518,0.36198250542475974,0.16370814750608198
17,1.5968701674352934,0.36849258876811053,0.1545491887775002,1.6071630846975125,0.3614888806461013,0.1468451778536679
18,1.5967774069772087,0.3686208296190775,0.14976444988623183,1.6076648562039506,0.36143207994172866,0.1625090317891558
19,1.5967156912739033,0.36865430548262096,0.14696461893551008,1.6065186042016233,0.3618743136472194,0.1487704483648792
20,1.5966345209811534,0.3686566371302456,0.14398341969589287,1.6064064333623913,0.36206364920668793,0.1482034881692205
21,1.5965167464492698,0.36862166235277005,0.14326685285037322,1.607757217320174,0.36188648528103534,0.1483306539624755
22,1.5964657698482756,0.3685998447473825,0.1417245693441155,1.6067344235808476,0.3618851328631983,0.13995903225295672
23,1.5963928935260618,0.3687034367144808,0.13867687110417334,1.6066822003788668,0.36177153153683556,0.14620580905741246
24,1.5962605899659912,0.36869610866181185,0.13494158095474731,1.6069460943346656,0.36144966107793614,0.12981214578974418
